customer_id,first_name,last_name,email,phone,date_of_birth,gender,city,state,zip_code,registration_date,customer_segment,preferred_channel,is_active,age
CUST000001,Emily,Brown,customer1@email.com,+1-633-896-8443,1982-07-03,M,Chicago,WA,36007,2020-02-19,Standard,In-Store,False,43
CUST000002,John,Jones,customer2@email.com,+1-767-928-5227,1973-04-16,F,San Diego,CA,99647,2022-10-31,Standard,In-Store,True,52
CUST000003,William,Taylor,customer3@email.com,+1-785-713-6014,1963-11-20,F,San Antonio,WA,73739,2020-03-27,Basic,In-Store,False,62
CUST000004,Jennifer,Davis,customer4@email.com,+1-926-432-7941,1983-10-08,F,Chicago,TX,26135,2024-03-06,Basic,In-Store,True,42
CUST000005,Jennifer,Hernandez,customer5@email.com,+1-360-478-2506,2007-05-16,M,Philadelphia,MA,80667,2024-04-16,Premium,Online,False,18
CUST000006,David,Jackson,customer6@email.com,+1-734-586-3050,1954-02-03,M,Houston,MA,56626,2023-04-29,Premium,Mobile App,True,71
CUST000007,Emily,Lopez,customer7@email.com,+1-960-416-7560,2018-05-27,M,Austin,NY,86778,2020-03-18,Standard,Online,False,7
CUST000008,Barbara,Thomas,customer8@email.com,+1-833-257-4586,2010-03-28,F,Phoenix,AZ,30357,2020-08-11,Premium,Online,False,15
CUST000009,Michael,Miller,customer9@email.com,+1-601-388-2264,2003-09-13,F,Austin,NY,19386,2020-03-31,Standard,In-Store,True,22
CUST000010,Patricia,Smith,customer10@email.com,+1-909-679-8821,1991-06-09,F,Phoenix,FL,28095,2020-06-10,Premium,In-Store,True,34
CUST000011,Jane,Wilson,customer11@email.com,+1-520-868-7637,1964-06-04,M,San Antonio,WA,59617,2021-08-05,Standard,Online,True,61
CUST000012,John,Lopez,customer12@email.com,+1-589-368-1895,1970-05-17,Other,Austin,IL,93330,2024-04-16,Basic,Mobile App,False,55
CUST000013,Michael,Jones,customer13@email.com,+1-580-862-7950,2015-11-19,F,Phoenix,IL,77740,2024-03-24,Basic,Mobile App,True,9
CUST000014,Robert,Rodriguez,customer14@email.com,+1-399-476-2776,1984-05-23,M,Austin,FL,47287,2022-05-05,Standard,In-Store,True,41
CUST000015,Jennifer,Johnson,customer15@email.com,+1-306-279-6942,1951-09-11,M,Boston,TX,94819,2024-02-09,Standard,In-Store,False,74
CUST000016,Matthew,Taylor,customer16@email.com,+1-817-997-6496,1963-10-10,M,Chicago,IL,77191,2020-07-15,Basic,In-Store,True,62
CUST000017,John,Thomas,customer17@email.com,+1-228-445-5623,1976-07-10,M,San Jose,WA,58186,2024-10-05,Premium,Online,True,49
CUST000018,Barbara,Jackson,customer18@email.com,+1-366-754-2744,1976-04-05,F,Phoenix,IL,64274,2020-04-12,Standard,In-Store,True,49
CUST000019,Robert,Martinez,customer19@email.com,+1-266-416-1179,1989-01-14,M,San Antonio,FL,38923,2024-02-09,Standard,Mobile App,True,36
CUST000020,Barbara,Jackson,customer20@email.com,+1-974-516-4075,2018-01-14,M,Phoenix,CA,75271,2021-03-19,Standard,Mobile App,True,7
CUST000021,Patricia,Taylor,customer21@email.com,+1-764-406-1530,2016-03-22,F,Phoenix,NY,20982,2023-05-13,Standard,Mobile App,True,9
CUST000022,Jennifer,Miller,customer22@email.com,+1-446-475-2393,1983-03-06,M,Dallas,PA,20895,2020-10-31,Premium,Online,True,42
CUST000023,Daniel,Garcia,customer23@email.com,+1-783-778-1735,1975-02-20,M,Boston,WA,47495,2022-09-21,Standard,Online,True,50
CUST000024,William,Jackson,customer24@email.com,+1-777-695-1748,1987-12-08,M,Chicago,NY,29952,2024-08-29,Standard,Online,True,37
CUST000025,John,Lopez,customer25@email.com,+1-249-522-2527,1991-07-02,M,Seattle,MA,89465,2022-11-17,Standard,Online,True,34
CUST000026,Sarah,Hernandez,customer26@email.com,+1-516-208-6843,1992-01-14,F,Philadelphia,CO,50837,2022-12-10,Premium,Online,True,33
CUST000027,Patricia,Thomas,customer27@email.com,+1-969-489-7523,1962-09-06,M,New York,IL,35239,2022-10-22,Basic,Online,True,63
CUST000028,James,Rodriguez,customer28@email.com,+1-712-399-6152,1953-04-16,F,San Jose,IL,12827,2023-02-15,Standard,In-Store,True,72
CUST000029,William,Jackson,customer29@email.com,+1-969-600-6830,1982-02-16,F,Phoenix,TX,15248,2020-07-20,Standard,In-Store,True,43
CUST000030,David,Garcia,customer30@email.com,+1-332-919-2595,1955-10-20,M,San Diego,NY,13790,2023-01-06,Standard,In-Store,True,70
CUST000031,Robert,Williams,customer31@email.com,+1-539-617-9250,1989-08-12,F,Phoenix,CO,42091,2023-05-01,Standard,Mobile App,True,36
CUST000032,James,Moore,customer32@email.com,+1-303-714-3460,1959-02-17,M,Dallas,IL,69448,2021-02-28,Standard,Online,True,66
CUST000033,Emily,Jones,customer33@email.com,+1-224-801-7260,1952-06-14,M,Austin,MA,54125,2020-03-19,Basic,Online,False,73
CUST000034,Michael,Thomas,customer34@email.com,+1-688-800-1612,1991-05-01,F,Philadelphia,TX,42198,2021-07-29,Premium,In-Store,True,34
CUST000035,Christopher,Martinez,customer35@email.com,+1-497-365-3482,1968-04-06,Other,San Diego,NY,84684,2024-06-24,Premium,In-Store,True,57
CUST000036,Emily,Rodriguez,customer36@email.com,+1-898-674-2290,1955-06-27,F,San Jose,TX,80500,2022-03-11,Basic,In-Store,True,70
CUST000037,Mary,Jackson,customer37@email.com,+1-840-295-4794,1994-11-11,M,San Diego,NY,84003,2023-09-06,Standard,Online,False,31
CUST000038,Mary,Lopez,customer38@email.com,+1-420-897-3307,1991-08-13,M,Seattle,AZ,29464,2020-08-22,Standard,Online,True,34
CUST000039,William,Thomas,customer39@email.com,+1-987-935-3638,1960-12-28,F,Chicago,AZ,41888,2022-03-01,Standard,In-Store,False,64
CUST000040,Jane,Smith,customer40@email.com,+1-713-728-9573,1982-06-12,M,San Antonio,FL,19587,2021-05-12,Standard,Mobile App,True,43
CUST000041,Daniel,Moore,customer41@email.com,+1-987-549-8331,1984-06-22,M,Denver,WA,37155,2023-02-10,Basic,Mobile App,True,41
CUST000042,Barbara,Wilson,customer42@email.com,+1-334-547-5765,1973-08-24,F,San Antonio,TX,28769,2022-12-07,Standard,In-Store,True,52
CUST000043,Emily,Garcia,customer43@email.com,+1-568-838-8059,2017-09-15,M,Denver,FL,44033,2020-08-21,Standard,In-Store,True,8
CUST000044,Christopher,Smith,customer44@email.com,+1-240-929-7350,2008-07-10,F,San Jose,TX,67324,2022-04-14,Basic,Mobile App,True,17
CUST000045,Michael,Lopez,customer45@email.com,+1-444-413-2228,1993-02-15,M,Jacksonville,IL,55164,2022-11-06,Standard,In-Store,True,32
CUST000046,Barbara,Davis,customer46@email.com,+1-356-780-9151,1997-09-09,F,Philadelphia,PA,88569,2022-08-26,Standard,In-Store,True,28
CUST000047,Lisa,Hernandez,customer47@email.com,+1-299-215-3336,2007-07-12,M,Jacksonville,TX,96337,2023-12-20,Standard,Mobile App,True,18
CUST000048,Mary,Williams,customer48@email.com,+1-984-516-9964,2017-07-10,F,San Antonio,IL,92099,2023-01-02,Standard,In-Store,True,8
CUST000049,Robert,Jackson,customer49@email.com,+1-289-710-2541,1970-08-16,F,Denver,CO,75824,2024-02-11,Basic,Mobile App,True,55
CUST000050,Michael,Wilson,customer50@email.com,+1-665-521-3780,1993-03-02,M,Los Angeles,AZ,59820,2021-12-22,Basic,Online,True,32
CUST000051,Jane,Miller,customer51@email.com,+1-502-365-2116,2009-08-15,Other,Dallas,FL,59805,2020-06-30,Standard,In-Store,False,16
CUST000052,Jennifer,Moore,customer52@email.com,+1-486-790-6952,2014-11-01,F,San Jose,PA,90295,2022-12-16,Premium,Mobile App,True,11
CUST000053,Lisa,Taylor,customer53@email.com,+1-561-291-2165,1955-06-29,F,San Jose,MA,37353,2024-07-31,Premium,Online,True,70
CUST000054,Michael,Jackson,customer54@email.com,+1-383-927-8548,1969-06-04,F,New York,AZ,26621,2023-11-03,Standard,In-Store,True,56
CUST000055,Jennifer,Jones,customer55@email.com,+1-464-684-5194,1958-10-07,F,New York,FL,72750,2021-12-24,Premium,Online,True,67
CUST000056,Emily,Martinez,customer56@email.com,+1-981-652-3301,1993-08-30,F,Chicago,PA,80172,2022-05-11,Standard,Mobile App,True,32
CUST000057,Christopher,Hernandez,customer57@email.com,+1-326-782-8999,1978-07-14,M,Denver,MA,43797,2023-05-05,Basic,In-Store,True,47
CUST000058,William,Anderson,customer58@email.com,+1-240-572-5696,1977-07-14,M,Boston,CA,23537,2020-04-03,Basic,Online,True,48
CUST000059,Daniel,Hernandez,customer59@email.com,+1-610-618-3113,1970-06-24,M,Chicago,IL,74341,2021-12-18,Standard,In-Store,True,55
CUST000060,Mary,Brown,customer60@email.com,+1-651-575-9396,1997-07-22,M,New York,CA,96390,2023-07-09,Standard,In-Store,True,28
CUST000061,Sarah,Brown,customer61@email.com,+1-839-521-7122,1951-06-07,M,Jacksonville,IL,82580,2020-03-13,Standard,In-Store,True,74
CUST000062,Mary,Moore,customer62@email.com,+1-285-898-7769,1966-08-30,M,San Antonio,NY,36437,2023-09-15,Basic,Online,True,59
CUST000063,Mary,Williams,customer63@email.com,+1-718-660-5306,1989-09-06,F,Houston,WA,99523,2023-04-25,Basic,Mobile App,True,36
CUST000064,Robert,Johnson,customer64@email.com,+1-898-243-1934,1976-08-07,M,San Jose,PA,75133,2022-02-20,Basic,In-Store,True,49
