customer_id,first_name,last_name,email,phone,date_of_birth,gender,registration_date,city,state,zip_code,country,customer_segment,preferred_channel,marketing_consent
CUST000001,FirstName1,LastName1,customer1@email.com,555-2824,1962-03-30,Other,2022-10-09,Los Angeles,CA,28289,USA,Budget,Online,True
CUST000002,FirstName2,LastName2,customer2@email.com,555-7912,1962-11-07,M,2022-04-06,Los Angeles,CA,76237,USA,Budget,Online,True
CUST000003,FirstName3,LastName3,customer3@email.com,555-9928,1997-08-20,M,2023-04-05,Phoenix,IL,10851,USA,Premium,Mobile App,False
CUST000004,FirstName4,LastName4,customer4@email.com,555-6574,1984-12-05,M,2022-08-09,Chicago,NY,22156,USA,Regular,Online,False
CUST000005,FirstName5,LastName5,customer5@email.com,555-6635,2014-02-28,F,2024-04-06,New York,TX,80284,USA,Premium,Store,True
CUST000006,FirstName6,LastName6,customer6@email.com,555-5803,1992-06-11,Other,2022-07-16,New York,NY,96673,USA,Premium,Store,True
CUST000007,FirstName7,LastName7,customer7@email.com,555-4814,1969-01-22,F,2022-10-12,Houston,IL,31319,USA,Regular,Store,True
CUST000008,FirstName8,LastName8,customer8@email.com,555-5374,1966-05-28,Other,2023-10-13,Los Angeles,AZ,42087,USA,Premium,Store,False
CUST000009,FirstName9,LastName9,customer9@email.com,555-5422,2009-12-19,M,2023-12-03,Chicago,NY,40021,USA,Premium,Store,False
CUST000010,FirstName10,LastName10,customer10@email.com,555-5386,1965-12-08,M,2024-07-24,Phoenix,IL,37869,USA,Budget,Store,False
CUST000011,FirstName11,LastName11,customer11@email.com,555-8517,1972-10-25,F,2022-05-23,Los Angeles,AZ,80644,USA,Regular,Mobile App,False
CUST000012,FirstName12,LastName12,customer12@email.com,555-7543,1992-06-22,M,2022-05-22,Phoenix,TX,21915,USA,Premium,Online,True
CUST000013,FirstName13,LastName13,customer13@email.com,555-3621,1997-11-15,Other,2022-03-07,Houston,TX,88104,USA,Regular,Mobile App,False
CUST000014,FirstName14,LastName14,customer14@email.com,555-1188,1970-04-11,Other,2024-06-25,Phoenix,IL,94012,USA,Regular,Online,False
CUST000015,FirstName15,LastName15,customer15@email.com,555-8123,1974-03-10,F,2022-01-04,Chicago,AZ,33416,USA,Budget,Online,False
CUST000016,FirstName16,LastName16,customer16@email.com,555-9317,2014-08-19,M,2022-06-06,Chicago,CA,80697,USA,Budget,Online,False
CUST000017,FirstName17,LastName17,customer17@email.com,555-9005,1961-09-30,M,2024-08-09,Chicago,IL,41385,USA,Premium,Online,True
CUST000018,FirstName18,LastName18,customer18@email.com,555-2403,2003-08-07,M,2024-02-18,Phoenix,CA,26828,USA,Budget,Store,True
CUST000019,FirstName19,LastName19,customer19@email.com,555-5342,2007-05-04,Other,2023-03-10,Los Angeles,AZ,36365,USA,Budget,Store,False
CUST000020,FirstName20,LastName20,customer20@email.com,555-7118,1999-04-21,Other,2023-04-08,New York,CA,39451,USA,Premium,Store,True
CUST000021,FirstName21,LastName21,customer21@email.com,555-4770,2012-10-16,M,2022-01-08,New York,NY,40007,USA,Premium,Online,False
CUST000022,FirstName22,LastName22,customer22@email.com,555-2160,2006-02-15,M,2022-10-13,Houston,CA,80678,USA,Premium,Mobile App,False
CUST000023,FirstName23,LastName23,customer23@email.com,555-4981,2002-06-07,F,2022-07-14,New York,NY,96374,USA,Regular,Store,False
CUST000024,FirstName24,LastName24,customer24@email.com,555-7735,2001-11-24,Other,2022-02-25,New York,NY,62772,USA,Budget,Store,True
CUST000025,FirstName25,LastName25,customer25@email.com,555-5073,1977-03-10,M,2023-07-04,Houston,CA,65296,USA,Premium,Store,False
CUST000026,FirstName26,LastName26,customer26@email.com,555-5092,1966-10-06,F,2024-04-07,Phoenix,NY,16630,USA,Budget,Mobile App,True
CUST000027,FirstName27,LastName27,customer27@email.com,555-2528,1981-03-16,M,2023-02-21,Houston,TX,38016,USA,Regular,Online,True
CUST000028,FirstName28,LastName28,customer28@email.com,555-7209,1960-03-11,F,2022-09-29,Houston,IL,65444,USA,Budget,Mobile App,False
CUST000029,FirstName29,LastName29,customer29@email.com,555-3536,1977-01-13,F,2022-08-11,New York,AZ,81066,USA,Premium,Mobile App,False
